APTV, APTIV PLC,New York Stock Exchange,Consumer Discretionary Auto & Auto,Parts,Large Growth
BWA, BORGWARNER INC,New York Stock Exchange,Consumer Discretionary Auto & Auto,Parts,Mid Value
BOSCHLTD, BOSCH LTD,Bombay Stock Exchange Limited (BSE),Consumer Discretionary Auto & Auto,Parts,Large Growth
CAAS, CHINA AUTOMOTIVE SYS INC,NASDAQ Stock Market,Consumer Discretionary Auto & Auto,Parts,Small Value
F, FORD MTR CO DEL,New York Stock Exchange,Consumer Discretionary Auto & Auto,Parts,Large Value
GM, GENERAL MTRS CO,New York Stock Exchange,Consumer Discretionary Auto & Auto,Parts,Large Value
HMC, HONDA MOTOR LTD,New York Stock Exchange,Consumer Discretionary Auto & Auto,Parts,Large Value
M&M, MAHINDRA &MAHINDRA,Bombay Stock Exchange Limited (BSE),Consumer Discretionary Auto & Auto,Parts,Large Blend
MARUTI, MARUTI SUZUKI IND,Bombay Stock Exchange Limited (BSE),Consumer Discretionary Auto & Auto,Parts,Large Growth
TATAMOTORS, TATA MOTORS LTD.,Bombay Stock Exchange Limited (BSE),Consumer Discretionary Auto & Auto,Parts,Large Growth
TSLA, TESLA INC,NASDAQ Stock Market,Consumer Discretionary Auto & Auto,Parts,Mid Growth
