AVP, AVON PRODS INC,New York Stock Exchange,Consumer Discretionary Consumer,Products,Small Value
BATAINDIA, BATA INDIA,Bombay Stock Exchange Limited (BSE),Consumer Discretionary Consumer,Products,Mid Growth
HRB, BLOCK H & R INC,New York Stock Exchange,Consumer Discretionary Consumer,Services,Mid Value
CHKE, CHEROKEE INC DEL NEW,NASDAQ - Industrial,Consumer Discretionary Consumer,Products,Small Blend
CPG, COMPASS GROUP,London Main Market  U.K.,Consumer Discretionary Consumer,Services,Large Growth
DFBG, DIFFERENTIAL BRANDS GROUP INC,NASDAQ Stock Market,Consumer Discretionary Consumer,Products,Small Blend
HAS, HASBRO INC,New York Stock Exchange,Consumer Discretionary Consumer,Products,Mid Blend
EL, LAUDER ESTEE COS INC,New York Stock Exchange,Consumer Discretionary Consumer,Products,Large Growth
LULU, LULULEMON ATHLETICA INC,NASDAQ Stock Market,Consumer Discretionary Consumer,Products,Mid Growth
MAT, MATTEL INC,NASDAQ Stock Market,Consumer Discretionary Consumer,Products,Mid Value
MOV, MOVADO GROUP INC,New York Stock Exchange,Consumer Discretionary Consumer,Products,Small Blend
EDU, NEW ORIENTAL ED & TECH GRP INC,New York Stock Exchange,Consumer Discretionary Consumer,Services,Mid Blend
NKE, NIKE INC,New York Stock Exchange,Consumer Discretionary Consumer,Products,Mid Blend
NTRI, NUTRI SYS INC NEW,NASDAQ Stock Market,Consumer Discretionary Consumer,Services,Small Growth
PSON, PEARSON,London Main Market  U.K.,Consumer Discretionary Consumer,Services,Small Value
REV, REVLON INC,New York Stock Exchange,Consumer Discretionary Consumer,Products,Small Growth
TAL, TAL ED GROUP,New York Stock Exchange,Consumer Discretionary Consumer,Services,Large Value
TIF, TIFFANY & CO NEW,New York Stock Exchange,Consumer Discretionary Consumer,Products,Large Blend
UAA, UNDER ARMOUR INC,NASDAQ - Industrial,Consumer Discretionary Consumer,Products,Mid Blend
VFC, V F CORP,New York Stock Exchange,Consumer Discretionary Consumer,Products,Small Value
VRA, VERA BRADLEY INC,NASDAQ Stock Market,Consumer Discretionary Consumer,Products,Mid Growth
