AFL, AFLAC INC,New York Stock Exchange,Financial Services,Insurance,Large Value
ALL, ALLSTATE CORP,New York Stock Exchange,Financial Services,Insurance,Large Growth
AXP, AMERICAN EXPRESS CO,New York Stock Exchange,Financial Services Consumer Finance & Credit,Services,Large Value
APAM, ARTISAN PARTNERS ASSET MGMT IN,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Mid Blend
AV., AVIVA,London Main Market  U.K.,Financial Services,Insurance,Large Value
AXISBANK, AXIS BANK,Bombay Stock Exchange Limited (BSE),Financial Services,Banks,Large Value
2142, BANK OF NINGBO CO.,Shenzhen Stock Exchange (SZSE),Financial Services,Banks,Small Value
OZK, BANK OZK,NASDAQ Bank - Insurance,Financial Services,Banks,Mid Growth
BCS, BARCLAYS PLC,New York Stock Exchange,Financial Services,Banks,Mid Blend
BX, BLACKSTONE GROUP L P,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Large Value
BPFH, BOSTON PRIVATE FINL HLDGS INC,NASDAQ Bank - Insurance,Financial Services,Banks,Small Growth
CBOE, CBOE GLOBAL MARKETS INC,NASDAQ Stock Market,Financial Services Investment Banking &,Brokerage,Large Blend
JRJC, CHINA FIN ONLINE CO LTD,NASDAQ Stock Market,Financial Services Consumer Finance & Credit,Services,Large Growth
600007, CHINA WORLD TRD CT,Shanghai Stock Exchange (SSE),Financial Services Real,Estate,Large Blend
C, CITIGROUP INC,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Large Value
CLIG, CITY OF LON INV GP,London Main Market  U.K.,Financial Services Investment Banking &,Brokerage,Large Blend
CS, CREDIT SUISSE GROUP,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Mid Blend
DB, DEUTSCHE BANK AG,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Mid Growth
DLR, DIGITAL RLTY TR INC,New York Stock Exchange,Financial Services Consumer Finance & Credit,Services,Small Value
DFS, DISCOVER FINL SVCS,New York Stock Exchange,Financial Services Consumer Finance & Credit,Services,Mid Blend
EXPN, EXPERIAN,London Main Market  U.K.,Financial Services Consumer Finance & Credit,Services,Small Blend
EXR, EXTRA SPACE STORAGE INC,New York Stock Exchange,Financial Services,Banks,Large Growth
FICO, FAIR ISAAC CORP,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Large Growth
GEO, GEO GROUP INC NEW,New York Stock Exchange,Financial Services,Banks,Large Blend
GBCI, GLACIER BANCORP INC NEW,NASDAQ Bank - Insurance,Financial Services Consumer Finance & Credit,Services,Large Blend
GSVC, GSV CAP CORP,NASDAQ Stock Market,Financial Services,Banks,Large Growth
HDFCBANK, HDFC BANK,Bombay Stock Exchange Limited (BSE),Financial Services,Banks,Mid Blend
HDFC, HOUSING DEVEL FIN,Bombay Stock Exchange Limited (BSE),Financial Services Investment Banking &,Brokerage,
HSBA, HSBC HOLDINGS PLC,London Main Market  U.K.,Financial,Services ,JPM
ICICIBANK, ICICI BANK,Bombay Stock Exchange Limited (BSE),Financial Services Large,Blend,KEY
ICE, INTERCONTINENTAL EXCHANGE INC,New York Stock Exchange,Financial Services Large,Blend,KKR
IRM, IRON MTN INC NEW,New York Stock Exchange,Financial Services Large,Value,LAZ
,,,,,
JPM, JPMORGAN CHASE & CO,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Large Value
KEY, KEYCORP NEW,New York Stock Exchange,Financial Services,Banks,Mid Value
KKR, KKR & CO INC,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Small Blend
LAZ, LAZARD LTD,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Large Value
LM, LEGG MASON INC,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Mid Value
LLOY, LLOYDS BANKING GP,London Main Market  U.K.,Financial Services,Banks,Large Blend
L, LOEWS CORP,New York Stock Exchange,Financial Services,Insurance,Large Growth
MTB, M & T BK CORP,New York Stock Exchange,Financial Services,Banks,Mid Blend
MA, MASTERCARD INCORPORATED,New York Stock Exchange,Financial Services Consumer Finance & Credit,Services,Large Value
MFSL, MAX FINANCIAL SERV,Bombay Stock Exchange Limited (BSE),Financial Services,Insurance,Large Growth
MET, METLIFE INC,New York Stock Exchange,Financial Services,Insurance,Small Value
MCO, MOODYS CORP,New York Stock Exchange,Financial Services Consumer Finance & Credit,Services,Small Value
ONB, OLD NATL BANCORP IND,New York Stock Exchange,Financial Services,Banks,Large Growth
OPY, OPPENHEIMER HLDGS INC,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Small Blend
PYPL, PAYPAL HLDGS INC,NASDAQ Stock Market,Financial Services Consumer Finance & Credit,Services,Large Blend
DOC, PHYSICIANS RLTY TR,New York Stock Exchange,Financial Services,Banks,Large Value
PNC, PNC FINL SVCS GROUP INC,New York Stock Exchange,Financial Services,Insurance,Large Blend
PRU, PRUDENTIAL FINL INC,New York Stock Exchange,Financial Services,Banks,Large Blend
PSA, PUBLIC STORAGE,New York Stock Exchange,Financial Services,Banks,Large Value
RF, REGIONS FINL CORP NEW,New York Stock Exchange,Financial Services Consumer Finance & Credit,Services,Mid Value
RBS, ROYAL BK SCOT GRP,London Main Market  U.K.,Financial Services Investment Banking &,Brokerage,Mid Growth
RECLTD, RURAL ELECTRIFICAT,Bombay Stock Exchange Limited (BSE),Financial Services Investment Banking &,Brokerage,Mid Growth
SDR, SCHRODERS,London Main Market  U.K.,Financial Services,Banks,Large Value
SEIC, SEI INVESTMENTS CO,NASDAQ - Industrial,Financial Services,Banks,Large Blend
STAN, STANDARD CHART PLC,London Main Market  U.K.,Financial Services Investment Banking &,Brokerage,Large Blend
SBIN, STATE BK OF INDIA,Bombay Stock Exchange Limited (BSE),Financial Services Consumer Finance & Credit,Services,Large Growth
UBS, UBS GROUP AG,New York Stock Exchange,Financial Services,Banks,Large Value
V, VISA INC,New York Stock Exchange,Financial Services,Banks,Large Value
WFC, WELLS FARGO CO NEW,New York Stock Exchange,Financial Services,Insurance,Small Blend
WBK, WESTPAC BKG CORP,New York Stock Exchange,Financial Services Real,Estate,Mid Value
WMIH, WMIH CORP,NASDAQ Stock Market,Financial Services,Banks,Large Growth
WYND, WYNDHAM DESTINATIONS INC,New York Stock Exchange,Financial Services Pharmaceuticals &,Biotech,Large Blend
YESBANK, YES BANK,Bombay Stock Exchange Limited (BSE),Financial Services Health Care,Services,Mid Blend
