ADBE, ADOBE SYS INC,NASDAQ - Industrial,Technology Information,Technology,Large Growth
BABA, ALIBABA GROUP HLDG LTD,New York Stock Exchange,Technology Information,Technology,Large Growth
GOOG, ALPHABET INC,NASDAQ Stock Market,Technology Information,Technology,Large Growth
AABA, ALTABA INC,NASDAQ - Industrial,Technology Information,Technology,Large Blend
AAPL, APPLE INC,NASDAQ - Industrial,Technology Information,Technology,
,,,,,
ANET, ARISTA NETWORKS INC,New York Stock Exchange,Technology Information,Technology,Large Growth
ASTRAMICRO, ASTRA MICROWAVE PR,Bombay Stock Exchange Limited (BSE),Technology,Telecommunication,Small Value
BIDU, BAIDU INC,NASDAQ Stock Market,Technology Information,Technology,Small Growth
BNFT, BENEFITFOCUS INC,NASDAQ Stock Market,Technology Information,Technology,Large Growth
CNTF, CHINA TECHFAITH WIRLS COMM TEC,NASDAQ Stock Market,Technology,Telecommunication,Small Growth
CTSH, COGNIZANT TECHNOLOGY SOLUTIONS,NASDAQ - Industrial,Technology Information,Technology,Large Value
DSCV, DISCOVERIE GROUP,London Main Market  U.K.,Technology,Electronics,Small Value
DXC, DXC TECHNOLOGY CO,New York Stock Exchange,Technology Information,Technology,Large Growth
EDGW, EDGEWATER TECHNOLOGY INC,NASDAQ Stock Market,Technology Information,Technology,Small Growth
FB, FACEBOOK INC,NASDAQ Stock Market,Technology Information,Technology,Small Growth
GEC, GREAT ELM CAP GROUP INC,NASDAQ Stock Market,Technology Information,Technology,Small Growth
GRPN, GROUPON INC,NASDAQ Stock Market,Technology Information,Technology,Mid Blend
GTT, GTT COMMUNICATIONS INC,NYSE MKT LLC,Technology,Telecommunication,Large Blend
HEXAWARE, HEXAWARE TECH,Bombay Stock Exchange Limited (BSE),Technology Information,Technology,Small Growth
INFY, INFOSYS LTD,Bombay Stock Exchange Limited (BSE),Technology Information,Technology,Small Growth
JUSTDIAL, JUST DIAL LTD,Bombay Stock Exchange Limited (BSE),Technology Information,Technology,Mid Value
MANH, MANHATTAN ASSOCS INC,NASDAQ - Industrial,Technology Information,Technology,Large Growth
MCRO, MICRO FOCUS INTL,London Main Market  U.K.,Technology Information,Technology,Mid Blend
MSFT, MICROSOFT CORP,NASDAQ - Industrial,Technology Information,Technology,Mid Blend
MINDTREE, MINDTREE LTD,Bombay Stock Exchange Limited (BSE),Technology Information,Technology,Large Value
NTES, NETEASE INC,NASDAQ - Industrial,Technology Information,Technology,Mid Growth
NIITTECH, NIIT TECHNOLOGIES,Bombay Stock Exchange Limited (BSE),Technology Information,Technology,Large Blend
ORCL, ORACLE CORP,NASDAQ - Industrial,Technology Information,Technology,Large Growth
SGE, SAGE GROUP,London Main Market  U.K.,Technology Information,Technology,Mid Value
SMI, SEMICONDUCTOR MFG INTL CORP,New York Stock Exchange,Technology,Electronics,Small Blend
SINA, SINA CORP,NASDAQ - Industrial,Technology Information,Technology,Large Growth
SOHU, SOHU COM LTD,NASDAQ - Industrial,Technology Information,Technology,Large Growth
SYNT, SYNTEL INC,NASDAQ - Industrial,Technology Information,Technology,Small Growth
TCS, TATA CONSULTANCY S,Bombay Stock Exchange Limited (BSE),Technology Information,Technology,Small Value
NCTY, THE9 LTD,NASDAQ Stock Market,Technology Information,Technology,Large Blend
TWTR, TWITTER INC,New York Stock Exchange,Technology Information,Technology,Small Growth
USAT, USA TECHNOLOGIES INC,NASDAQ Stock Market,Technology Information,Technology,Large Value
UTSI, UTSTARCOM HOLDINGS CORP,NASDAQ - Industrial,Technology,Telecommunication,Mid Blend
WIPRO, WIPRO,Bombay Stock Exchange Limited (BSE),Technology Information,Technology,Mid Value
ZNGA, ZYNGA INC,NASDAQ Stock Market,Technology Information,Technology,Mid Blend
