APD, AIR PRODS & CHEMS INC,New York Stock Exchange,Materials & Processing Chemical &,Synthetics,Large Blend
AKS, AK STL HLDG CORP,New York Stock Exchange,Materials & Processing Metals &,Minerals,Small Value
ACH, ALUMINUM CORP CHINA LTD,New York Stock Exchange,Materials & Processing Metals &,Minerals,Large Growth
ASH, ASHLAND GLOBAL HLDGS INC,New York Stock Exchange,Materials & Processing Chemical &,Synthetics,Mid Value
ATUL, ATUL LTD,Bombay Stock Exchange Limited (BSE),Materials & Processing Chemical &,Synthetics,Mid Growth
BECN, BEACON ROOFING SUPPLY INC,NASDAQ Stock Market,Materials & Processing Building,Materials,Small Blend
BERGEPAINT, BERGER PAINTS IND,Bombay Stock Exchange Limited (BSE),Materials & Processing Industrial Materials &,Processes,Large Growth
BLT, BHP BILLITON PLC,London Main Market  U.K.,Materials & Processing Metals &,Minerals,Large Blend
CCJ, CAMECO CORP,New York Stock Exchange,Materials & Processing Metals &,Minerals,Mid Growth
CAR, CARCLO,London Main Market  U.K.,Materials & Processing Industrial Materials &,Processes,Small Blend
CHNR, CHINA NATURAL RESOURCES INC,NASDAQ Stock Market,Materials & Processing Metals &,Minerals,Small Blend
CLW, CLEARWATER PAPER CORP,New York Stock Exchange,Materials & Processing Industrial Materials &,Processes,Small Value
DWDP, DOWDUPONT INC,New York Stock Exchange,Materials & Processing Chemical &,Synthetics,Large Value
EMN, EASTMAN CHEM CO,New York Stock Exchange,Materials & Processing Chemical &,Synthetics,Mid Value
EVRH, EVR HOLDINGS PLC,London Main Market  U.K.,Materials & Processing Metals &,Minerals,Small Growth
FMC, F M C CORP,New York Stock Exchange,Materials & Processing Chemical &,Synthetics,Mid Value
FERG, FERGUSON PLC,London Main Market  U.K.,Materials & Processing Building,Materials,Large Value
FCX, FREEPORT-MCMORAN INC,New York Stock Exchange,Materials & Processing Metals &,Minerals,Large Value
FFHL, FUWEI FILMS HLDGS CO LTD,NASDAQ Stock Market,Materials & Processing Industrial Materials &,Processes,Small Value
ROCK, GIBRALTAR INDS INC,NASDAQ - Industrial,Materials & Processing Building,Materials,Small Growth
HINDALCO, HINDALCO INDS,Bombay Stock Exchange Limited (BSE),Materials & Processing Metals &,Minerals,Large Growth
IOSP, INNOSPEC INC,New York Stock Exchange,Materials & Processing Chemical &,Synthetics,Small Blend
JMAT, JOHNSON MATTHEY,London Main Market  U.K.,Materials & Processing Chemical &,Synthetics,Mid Value
KALU, KAISER ALUMINUM CORP,NASDAQ Stock Market,Materials & Processing Metals &,Minerals,Small Blend
MNDI, MONDI PLC,London Main Market  U.K.,Materials & Processing Industrial Materials &,Processes,Mid Blend
NP, NEENAH INC,New York Stock Exchange,Materials & Processing Industrial Materials &,Processes,Small Blend
NTIC, NORTHERN TECH INTL CORP,NASDAQ Stock Market,Materials & Processing Industrial Materials &,Processes,Small Growth
PKX, POSCO,New York Stock Exchange,Materials & Processing Metals &,Minerals,Large Value
PX, PRAXAIR INC,New York Stock Exchange,Materials & Processing Chemical &,Synthetics,Large Blend
KWR, QUAKER CHEM CORP,New York Stock Exchange,Materials & Processing Chemical &,Synthetics,Small Growth
ROLL, RBC BEARINGS INC,NASDAQ Stock Market,Materials & Processing Metals &,Minerals,Mid Growth
RIO, RIO TINTO,London Main Market  U.K.,Materials & Processing Metals &,Minerals,Large Blend
RIO, RIO TINTO PLC,New York Stock Exchange,Materials & Processing Metals &,Minerals,Large Blend
RGLD, ROYAL GOLD INC,NASDAQ - Industrial,Materials & Processing Metals &,Minerals,Mid Growth
SSRM, SSR MNG INC,NASDAQ - Industrial,Materials & Processing Metals &,Minerals,Small Growth
TAHO, TAHOE RES INC,New York Stock Exchange,Materials & Processing Metals &,Minerals,Mid Value
TATASTEEL, TATA STEEL LTD,Bombay Stock Exchange Limited (BSE),Materials & Processing Metals &,Minerals,Large Value
ULTRACEMCO, ULTRATECH CEMENT,Bombay Stock Exchange Limited (BSE),Materials & Processing Building,Materials,Large Growth
X, UNITED STATES STL CORP NEW,New York Stock Exchange,Materials & Processing Metals &,Minerals,Mid Value
VEDL, VEDANTA LIMITED,Bombay Stock Exchange Limited (BSE),Materials & Processing Metals &,Minerals,Large Value
